@relation jAudio
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE Class {bed , dining , kitchen , meeting , office , washroom}
@DATA
-5.094926004924802,11.329203088066402,3.5400997917857544,3.4996923754344205,2.8839605289088626,1.9879786705834885,-0.25943803268788257,0.4166454732124366,0.346205916035586,-1.048267265996058,0.6633945859718228,-0.6129675713339411,bed
-5.237936897004356,9.540850071268057,3.8602072997781414,3.5811038239655644,2.7509043037645236,1.5562034691812965,-0.16356283169281247,0.9340564372579602,0.4713627845058768,-1.1313552691006017,0.6348772778694981,-0.605053130431406,bed
-5.081047790030011,10.87189839961596,3.443007167954544,3.8184643378602003,3.2233419130931207,1.6472497029196451,-0.4534905222784819,0.7510216812032164,0.33645883965611995,-1.2020412680106325,0.6136784068052014,-0.6824646628399529,bed
-5.112372942341862,12.412095720708754,3.4725801197851958,3.2997998612349746,2.8902099520116233,1.8088531600330764,-0.35938392451323425,0.7124618067059221,0.3380362232628668,-1.1750562924574568,0.5946786925069728,-0.4868176474487885,bed
-5.804945383122713,11.422282254511373,4.074134940169868,3.437653766120022,3.228605452005806,1.6761990096033803,-0.39888647082327394,0.9625844229777554,0.34989028414561063,-1.3932630643763437,0.6442467920857161,-0.5028541316018552,bed
-4.868295359408141,9.880593123235395,3.609225923377265,4.156653292150393,3.510169135993481,1.6986639928003298,-0.30240513054680446,1.0130797392012894,0.3456475372932504,-1.265212453896784,0.49934191820257023,-0.7999474341437562,bed
-5.048683760483268,11.234083194317948,3.7561070708271083,3.211358029556743,2.7994396068062057,1.617734122479348,-0.5260531317420143,0.44511912301667933,0.26315291740828356,-1.2735954076101423,0.7698957342086346,-0.6673472042968234,bed
-5.640745474716679,13.086084334009884,4.213736535742284,3.8751471825610726,3.4832139024492115,1.8352419007049563,-0.4970988987195458,0.5541911389327981,0.3706669674873571,-1.3023757039042032,0.4762129795147815,-0.6876161055238906,bed
-5.573573143604108,13.321067696330608,4.143329818759675,3.837819002360372,3.5382536467670893,1.8747243852105577,-0.46697303238202126,0.5663241516444393,0.27579768087308154,-1.3199269086700205,0.4656702449833832,-0.8492007432325996,bed
-4.883515714176404,9.815661104268353,3.197425615026832,3.2146374453203403,2.672340238025583,1.733479957920451,7.367911364438115E-4,1.0898297795457463,0.5623089208007163,-1.134117961011045,0.5547052700045633,-0.7833711845367298,bed
-5.349977222422827,12.009801889774044,3.5203482771070482,3.304147963434013,3.0994325801476448,1.9070683239258506,-0.3906671481901875,0.7345618872793633,0.44442766428131963,-1.1940177103432812,0.430907756205035,-0.7376129977087814,bed
